,Total Households,Less than $10k,$200k+,district number,State,% of households over $200k,% of households less than $10k,Party
0,289474,14153,19390,10,Michigan,0.06698356329065823,0.048892128481314384,R
1,299804,23793,10899,4,Mississippi,0.0363537511173967,0.07936184974183133,R
2,278057,27728,19574,14,Michigan,0.07039563830437644,0.09972056089219117,D
3,306685,19036,12208,1,Michigan,0.03980631592676525,0.06207020232486101,R
4,285554,26481,12412,3,Mississippi,0.04346638464178404,0.09273552462931704,R
5,283677,18570,17797,4,Nevada,0.06273684507379872,0.06546177518797788,D
6,343373,20441,38494,3,Nevada,0.11210549460790452,0.059530015464232776,D
7,262930,9151,29470,2,New Hampshire,0.1120830639333663,0.034803940212223786,D
8,285096,8084,32668,1,New Hampshire,0.11458596402615259,0.02835536100120661,D
9,263104,12087,15711,1,Nebraska,0.05971402943322793,0.045940008513743615,R
10,271782,23084,16799,3,New Mexico,0.06181056876467168,0.0849357205407275,D
11,308009,24164,30709,1,Ohio,0.09970163209516605,0.07845225301858062,R
12,333919,23520,20966,5,Oklahoma,0.06278768204265106,0.07043624352013513,D
13,289178,19460,33817,9,North Carolina,0.1169418143842201,0.06729419250427073,R
14,314682,18235,16908,10,North Carolina,0.05373043262722367,0.05794738815693303,R
15,305027,30603,30808,8,New York,0.10100089500273746,0.10032882335006409,D
16,299573,25957,34095,9,New York,0.11381199240251959,0.08664666041332163,D
17,316752,22546,78661,10,New York,0.24833623781381017,0.07117871394655756,D
18,268455,19149,31124,11,New York,0.11593749417965767,0.07133039056825166,D
19,297240,40571,17943,13,New York,0.06036536132418248,0.13649239671645808,D
20,284253,20517,51951,16,New York,0.18276324260429969,0.072178657745037,D
21,258942,10689,63437,17,New York,0.24498536351769895,0.04127951433139467,D
22,335449,41413,27360,3,Pennsylvania,0.08156232393001618,0.12345542839597078,D
23,220794,14673,21154,1,Rhode Island,0.09580876291928223,0.0664556102067991,D
24,325468,15085,29661,5,Oregon,0.09113338331264517,0.0463486425700837,D
25,314476,18247,28446,20,New York,0.0904552334677368,0.058023505768325725,D
26,293063,12956,39369,3,New Jersey,0.13433630311571232,0.04420892436097358,D
27,275729,9737,64915,5,New Jersey,0.23543044075886105,0.03531365942646584,D
28,286558,7946,81477,7,New Jersey,0.2843298738824252,0.027729115920686213,D
29,283783,17923,36065,9,New Jersey,0.12708654147711457,0.06315741252999652,D
